complaint_id,complaint_text,title,category,subcategory,department,priority,severity,location_type,affected_citizens,duration_days,emergency_flag,is_crime,resolution_days,latitude,longitude,ward,address
CMP-11278,Education & School Infrastructure की इस समस्या से स्थानीय निवासियों को कई दिनों से असुविधा हो रही है।,लगातार असुविधा,Education & School Infrastructure,Classroom Roof Seepage,Education & School Infrastructure,MEDIUM,Medium,Commercial,162,4,0,0,3.4,23.0009,88.39843,Ward 10,"Electricity Substation, Kalyani Highway, Ward 10"
CMP-11279,"गंभीर जनहानि और स्वास्थ्य जोखिम की संभावना, Education & School Infrastructure तुरंत संज्ञान ले।",गंभीर समस्या,Education & School Infrastructure,Classroom Roof Seepage,Education & School Infrastructure,HIGH,High,Industrial,450,11,0,0,2.1,22.96506,88.46494,Ward 14,"Sub-Divisional Court, Railway Colony Road, Ward 14"
CMP-11280,Life-threatening emergency collapse regarding Classroom Roof Seepage near Water Tank #4; immediate disaster intervention required!,Life Threatening Classroom Roof Seepage,Education & School Infrastructure,Classroom Roof Seepage,Education & School Infrastructure,CRITICAL,Critical,Industrial,947,4,1,0,1.3,22.9508,88.42624,Ward 19,"Water Tank #4, College Street, Ward 19"
CMP-11281,Routine query and minor maintenance request regarding Hospital OPD Service Delay on Bazaar Street.,Routine Hospital OPD Service Delay,Healthcare & Hospital Facilities,Hospital OPD Service Delay,Healthcare & Hospital Facilities,LOW,Low,Hospital,16,3,0,0,5.4,22.95726,88.45847,Ward 18,"General Hospital Gate #2, Bazaar Street, Ward 18"
CMP-11282,Healthcare & Hospital Facilities-এর এই সমস্যাটির কারণে এলাকায় বেশ কিছু দিন ধরে অসুবিধা হচ্ছে।,চলমান সমস্যা,Healthcare & Hospital Facilities,Hospital OPD Service Delay,Healthcare & Hospital Facilities,MEDIUM,Medium,Public Park,141,16,0,0,3.2,23.01522,88.45471,Ward 4,"Public Library, Netaji Subhash Avenue, Ward 4"
CMP-11283,গুরুতর জনদুর্ভোগ এবং ব্যাপক ক্ষয়ক্ষতির আশঙ্কা Healthcare & Hospital Facilities-এর এই ত্রুটির জন্য।,গুরুতর জনদুর্ভোগ,Healthcare & Hospital Facilities,Hospital OPD Service Delay,Healthcare & Hospital Facilities,HIGH,High,Highway,566,14,0,0,2.5,22.96343,88.43025,Ward 14,"Government Girls High School, Netaji Subhash Avenue, Ward 14"
CMP-11284,आपातकालीन जानलेवा संकट! Healthcare & Hospital Facilities पर तत्काल राहत और बचाव दल भेजें!,आपातकालीन संकट,Healthcare & Hospital Facilities,Shortage of Critical Medicine,Healthcare & Hospital Facilities,CRITICAL,Critical,Slum Area,434,1,1,0,1.0,22.96188,88.44634,Ward 1,"Bus Terminus, College Street, Ward 1"
CMP-11285,Routine query and minor maintenance request regarding Canal Water Siltation on Kalyani Highway.,Routine Canal Water Siltation,Agriculture & Irrigation,Canal Water Siltation,Agriculture & Irrigation,LOW,Low,School,22,7,0,0,5.8,22.94732,88.42486,Ward 13,"Children's Park, Kalyani Highway, Ward 13"
CMP-11286,Noticeable delay and recurring problem regarding Canal Water Siltation affecting residents on Station Road.,Recurring Canal Water Siltation Problem,Agriculture & Irrigation,Canal Water Siltation,Agriculture & Irrigation,MEDIUM,Medium,Highway,44,7,0,0,3.5,22.94011,88.44878,Ward 15,"Bus Terminus, Station Road, Ward 15"
CMP-11287,"गंभीर जनहानि और स्वास्थ्य जोखिम की संभावना, Agriculture & Irrigation तुरंत संज्ञान ले।",गंभीर समस्या,Agriculture & Irrigation,Defective Irrigation Pump,Agriculture & Irrigation,HIGH,High,School,134,10,0,0,2.1,22.97012,88.4227,Ward 15,"Municipal Market, Kalyani Highway, Ward 15"
CMP-11288,Life-threatening emergency collapse regarding Defective Irrigation Pump near Bus Terminus; immediate disaster intervention required!,Life Threatening Defective Irrigation Pump,Agriculture & Irrigation,Defective Irrigation Pump,Agriculture & Irrigation,CRITICAL,Critical,Residential,340,2,1,0,1.1,22.97482,88.42861,Ward 20,"Bus Terminus, Barrackpore Trunk Road, Ward 20"
CMP-11289,Routine query and minor maintenance request regarding Cattle Stray Menace on College Street.,Routine Cattle Stray Menace,Animal Husbandry & Veterinary,Cattle Stray Menace,Animal Husbandry & Veterinary,LOW,Low,Market,8,9,0,0,5.4,22.95679,88.44199,Ward 6,"Sub-Divisional Court, College Street, Ward 6"
CMP-11290,Noticeable delay and recurring problem regarding Cattle Stray Menace affecting residents on Station Road.,Recurring Cattle Stray Menace Problem,Animal Husbandry & Veterinary,Cattle Stray Menace,Animal Husbandry & Veterinary,MEDIUM,Medium,Highway,54,17,0,0,3.8,22.9785,88.4589,Ward 6,"Bus Terminus, Station Road, Ward 6"
CMP-11291,Serious civic breakdown and public risk caused by Veterinary Clinic Shortage near Public Library.,Substantial Risk: Veterinary Clinic Shortage,Animal Husbandry & Veterinary,Veterinary Clinic Shortage,Animal Husbandry & Veterinary,HIGH,High,Residential,502,13,0,0,2.0,22.97894,88.40657,Ward 17,"Public Library, Gandhi Marg, Ward 17"
CMP-11292,Emergency catastrophic disaster in Animal Husbandry & Veterinary on Bazaar Street; human lives in immediate extreme peril!,Emergency Crisis in Animal Husbandry & Veterinary,Animal Husbandry & Veterinary,Cattle Stray Menace,Animal Husbandry & Veterinary,CRITICAL,Critical,Residential,919,1,1,0,1.0,22.95652,88.4638,Ward 2,"Sub-Divisional Court, Bazaar Street, Ward 2"
CMP-11293,Consumer Affairs & Fair Price के संबंध में सामान्य पूछताछ एवं सुधार का अनुरोध।,सामान्य पूछताछ,Consumer Affairs & Fair Price,Weight Discrepancy in Market,Consumer Affairs & Fair Price,LOW,Low,School,24,4,0,0,5.7,22.98108,88.39568,Ward 3,"Kalyani Stadium, Lake View Road, Ward 3"
CMP-11294,Noticeable delay and recurring problem regarding Ration Shop PDS Irregularity affecting residents on Ring Road.,Recurring Ration Shop PDS Irregularity Problem,Consumer Affairs & Fair Price,Ration Shop PDS Irregularity,Consumer Affairs & Fair Price,MEDIUM,Medium,School,18,13,0,0,3.5,22.98254,88.43839,Ward 3,"City Central Station, Ring Road, Ward 3"
CMP-11295,Serious civic breakdown and public risk caused by Weight Discrepancy in Market near Post Office Square.,Substantial Risk: Weight Discrepancy in Market,Consumer Affairs & Fair Price,Weight Discrepancy in Market,Consumer Affairs & Fair Price,HIGH,High,Residential,791,4,0,0,1.9,22.95274,88.4324,Ward 14,"Post Office Square, Market Bypass, Ward 14"
CMP-11296,Emergency catastrophic disaster in Consumer Affairs & Fair Price on Old Court Road; human lives in immediate extreme peril!,Emergency Crisis in Consumer Affairs & Fair Price,Consumer Affairs & Fair Price,Ration Shop PDS Irregularity,Consumer Affairs & Fair Price,CRITICAL,Critical,School,1161,2,1,0,1.4,22.9201,88.42995,Ward 18,"Community Health Center, Old Court Road, Ward 18"
CMP-11297,Social Welfare & Pensions के संबंध में सामान्य पूछताछ एवं सुधार का अनुरोध।,सामान्य पूछताछ,Social Welfare & Pensions,Disability Scheme Verification,Social Welfare & Pensions,LOW,Low,Commercial,15,4,0,0,5.5,22.99624,88.45132,Ward 12,"Government Girls High School, Ring Road, Ward 12"
CMP-11298,Social Welfare & Pensions-এর এই সমস্যাটির কারণে এলাকায় বেশ কিছু দিন ধরে অসুবিধা হচ্ছে।,চলমান সমস্যা,Social Welfare & Pensions,Old Age Pension Non-Credit,Social Welfare & Pensions,MEDIUM,Medium,Residential,117,13,0,0,3.6,22.955,88.3863,Ward 13,"City Central Station, College Street, Ward 13"
CMP-11299,Serious civic breakdown and public risk caused by Disability Scheme Verification near Kalyani Stadium.,Substantial Risk: Disability Scheme Verification,Social Welfare & Pensions,Disability Scheme Verification,Social Welfare & Pensions,HIGH,High,Hospital,117,12,0,0,2.2,23.00004,88.46884,Ward 20,"Kalyani Stadium, Kalyani Highway, Ward 20"
CMP-11300,"চরম বিপর্যয় ও প্রাণনাশের আশঙ্কা Social Welfare & Pensions-এর ঘটনায়, অবিলম্বে সাহায্য পাঠান!",চরম জরুরি অবস্থা,Social Welfare & Pensions,Old Age Pension Non-Credit,Social Welfare & Pensions,CRITICAL,Critical,Hospital,457,4,1,0,1.4,22.98573,88.44349,Ward 20,"Municipal Market, Gandhi Marg, Ward 20"
CMP-11301,Backward Classes & Tribal Welfare के संबंध में सामान्य पूछताछ एवं सुधार का अनुरोध।,सामान्य पूछताछ,Backward Classes & Tribal Welfare,Tribal Hostel Infrastructure,Backward Classes & Tribal Welfare,LOW,Low,Highway,17,2,0,0,5.4,22.97175,88.47573,Ward 13,"Post Office Square, Market Bypass, Ward 13"
CMP-11302,Continuous citizen inconvenience caused by malfunctioning Tribal Hostel Infrastructure near Post Office Square.,Inconvenience with Tribal Hostel Infrastructure,Backward Classes & Tribal Welfare,Tribal Hostel Infrastructure,Backward Classes & Tribal Welfare,MEDIUM,Medium,Slum Area,177,13,0,0,3.3,23.01537,88.42595,Ward 3,"Post Office Square, Old Court Road, Ward 3"
CMP-11303,গুরুতর জনদুর্ভোগ এবং ব্যাপক ক্ষয়ক্ষতির আশঙ্কা Backward Classes & Tribal Welfare-এর এই ত্রুটির জন্য।,গুরুতর জনদুর্ভোগ,Backward Classes & Tribal Welfare,Scholarship Disbursement,Backward Classes & Tribal Welfare,HIGH,High,School,441,10,0,0,2.5,22.93983,88.44865,Ward 17,"Electricity Substation, Station Road, Ward 17"
CMP-11304,Emergency catastrophic disaster in Backward Classes & Tribal Welfare on Industrial Estate Road; human lives in immediate extreme peril!,Emergency Crisis in Backward Classes & Tribal Welfare,Backward Classes & Tribal Welfare,Scholarship Disbursement,Backward Classes & Tribal Welfare,CRITICAL,Critical,Hospital,1272,1,1,0,1.1,22.93962,88.43946,Ward 8,"City Central Station, Industrial Estate Road, Ward 8"
CMP-11305,Fisheries & Aquaculture के संबंध में सामान्य पूछताछ एवं सुधार का अनुरोध।,सामान्य पूछताछ,Fisheries & Aquaculture,Fish Farmers Support Scheme,Fisheries & Aquaculture,LOW,Low,Highway,4,3,0,0,5.7,22.95388,88.39652,Ward 16,"Municipal Market, Industrial Estate Road, Ward 16"
CMP-11306,Fisheries & Aquaculture-এর এই সমস্যাটির কারণে এলাকায় বেশ কিছু দিন ধরে অসুবিধা হচ্ছে।,চলমান সমস্যা,Fisheries & Aquaculture,Pond Water Contamination,Fisheries & Aquaculture,MEDIUM,Medium,Residential,111,9,0,0,3.5,22.97281,88.44771,Ward 8,"Clock Tower Crossing, Lake View Road, Ward 8"
CMP-11307,"गंभीर जनहानि और स्वास्थ्य जोखिम की संभावना, Fisheries & Aquaculture तुरंत संज्ञान ले।",गंभीर समस्या,Fisheries & Aquaculture,Fish Farmers Support Scheme,Fisheries & Aquaculture,HIGH,High,Residential,334,7,0,0,2.4,22.97351,88.48039,Ward 17,"Clock Tower Crossing, Old Court Road, Ward 17"
CMP-11308,आपातकालीन जानलेवा संकट! Fisheries & Aquaculture पर तत्काल राहत और बचाव दल भेजें!,आपातकालीन संकट,Fisheries & Aquaculture,Fish Farmers Support Scheme,Fisheries & Aquaculture,CRITICAL,Critical,Highway,479,3,1,0,1.3,22.96634,88.39371,Ward 8,"City Central Station, Temple Road, Ward 8"
CMP-11309,General inspection request for Illegal Timber Logging near General Hospital Gate #2.,Inspection of Illegal Timber Logging,Forest & Wildlife Protection,Illegal Timber Logging,Forest & Wildlife Protection,LOW,Low,School,43,4,0,0,5.4,22.96659,88.45801,Ward 20,"General Hospital Gate #2, Rabindra Path, Ward 20"
CMP-11310,Forest & Wildlife Protection की इस समस्या से स्थानीय निवासियों को कई दिनों से असुविधा हो रही है।,लगातार असुविधा,Forest & Wildlife Protection,Illegal Timber Logging,Forest & Wildlife Protection,MEDIUM,Medium,Residential,61,17,0,0,3.6,22.94552,88.43831,Ward 3,"Community Health Center, Kabi Nazrul Sarani, Ward 3"
CMP-11311,"गंभीर जनहानि और स्वास्थ्य जोखिम की संभावना, Forest & Wildlife Protection तुरंत संज्ञान ले।",गंभीर समस्या,Forest & Wildlife Protection,Illegal Timber Logging,Forest & Wildlife Protection,HIGH,High,Industrial,103,12,0,0,2.4,23.0132,88.45619,Ward 7,"Public Library, Netaji Subhash Avenue, Ward 7"
CMP-11312,Life-threatening emergency collapse regarding Illegal Timber Logging near Post Office Square; immediate disaster intervention required!,Life Threatening Illegal Timber Logging,Forest & Wildlife Protection,Illegal Timber Logging,Forest & Wildlife Protection,CRITICAL,Critical,School,1223,2,1,0,1.4,22.9765,88.44371,Ward 17,"Post Office Square, Netaji Subhash Avenue, Ward 17"
CMP-11313,Routine query and minor maintenance request regarding Defective Ration Card on Ring Road.,Routine Defective Ration Card,Food & Supplies (PDS),Defective Ration Card,Food & Supplies (PDS),LOW,Low,School,20,3,0,0,5.7,22.94168,88.42526,Ward 8,"Electricity Substation, Ring Road, Ward 8"
CMP-11314,Food & Supplies (PDS) की इस समस्या से स्थानीय निवासियों को कई दिनों से असुविधा हो रही है।,लगातार असुविधा,Food & Supplies (PDS),Adulterated Food Commodity,Food & Supplies (PDS),MEDIUM,Medium,Slum Area,92,12,0,0,3.3,22.98448,88.46476,Ward 7,"Kalyani Stadium, College Street, Ward 7"
CMP-11315,গুরুতর জনদুর্ভোগ এবং ব্যাপক ক্ষয়ক্ষতির আশঙ্কা Food & Supplies (PDS)-এর এই ত্রুটির জন্য।,গুরুতর জনদুর্ভোগ,Food & Supplies (PDS),Defective Ration Card,Food & Supplies (PDS),HIGH,High,Market,418,8,0,0,2.1,22.91524,88.42369,Ward 6,"Municipal Market, Barrackpore Trunk Road, Ward 6"
CMP-11316,आपातकालीन जानलेवा संकट! Food & Supplies (PDS) पर तत्काल राहत और बचाव दल भेजें!,आपातकालीन संकट,Food & Supplies (PDS),Adulterated Food Commodity,Food & Supplies (PDS),CRITICAL,Critical,Industrial,1044,4,1,0,1.4,22.98844,88.4447,Ward 16,"Water Tank #4, Kalyani Highway, Ward 16"
CMP-11317,Routine query and minor maintenance request regarding Defunct Sports Complex on Bazaar Street.,Routine Defunct Sports Complex,Youth Services & Sports,Defunct Sports Complex,Youth Services & Sports,LOW,Low,Public Park,6,5,0,0,5.4,22.94302,88.44688,Ward 5,"Water Tank #4, Bazaar Street, Ward 5"
CMP-11318,Continuous citizen inconvenience caused by malfunctioning Youth Development Training near Children's Park.,Inconvenience with Youth Development Training,Youth Services & Sports,Youth Development Training,Youth Services & Sports,MEDIUM,Medium,Slum Area,133,12,0,0,3.3,23.0296,88.44826,Ward 10,"Children's Park, School Lane, Ward 10"
CMP-11319,"गंभीर जनहानि और स्वास्थ्य जोखिम की संभावना, Youth Services & Sports तुरंत संज्ञान ले।",गंभीर समस्या,Youth Services & Sports,Youth Development Training,Youth Services & Sports,HIGH,High,Industrial,123,7,0,0,2.1,22.95972,88.43168,Ward 16,"Town Hall Complex, Rabindra Path, Ward 16"
CMP-11320,Life-threatening emergency collapse regarding Youth Development Training near Public Library; immediate disaster intervention required!,Life Threatening Youth Development Training,Youth Services & Sports,Youth Development Training,Youth Services & Sports,CRITICAL,Critical,Public Park,18,1,1,0,1.2,23.00292,88.43866,Ward 12,"Public Library, Hospital Road, Ward 12"
CMP-11321,Bazaar Street पर मेरे घर की चाबी कहीं गिर गई है। सामान्य शिकायत दर्ज करवानी है।,खोई हुई वस्तु की सूचना,Police & Law Enforcement,Theft / Burglary,Police & Law Enforcement,LOW,Low,Market,26,6,0,1,3.2,23.02226,88.43523,Ward 16,"Water Tank #4, Bazaar Street, Ward 16"
CMP-11322,কালকে Municipal Market-এর সামনে থেকে আমার সাইকেলটি চুরি হয়ে গেছে।,সাইকেল চুরির অভিযোগ,Police & Law Enforcement,Theft / Burglary,Police & Law Enforcement,MEDIUM,Medium,Commercial,119,4,0,1,2.3,22.95979,88.44308,Ward 13,"Municipal Market, Shanti Nagar Main Road, Ward 13"
CMP-11323,Local goons demanding extortion money and threatening shopkeepers with violence near Water Tank #4.,Extortion & Intimidation of Traders,Police & Law Enforcement,Extortion / Threat,Police & Law Enforcement,HIGH,High,Highway,311,14,0,1,1.4,22.92776,88.48438,Ward 17,"Water Tank #4, Lake View Road, Ward 17"
CMP-11324,"Railway Colony Road पर इस वक्त एक व्यक्ति पर जानलेवा हमला हो रहा है, तुरंत पुलिस भेजिए!",सक्रिय जानलेवा हमला,Police & Law Enforcement,Physical Assault,Police & Law Enforcement,CRITICAL,Critical,Market,1343,4,1,1,1.0,22.96507,88.40644,Ward 8,"General Hospital Gate #2, Railway Colony Road, Ward 8"
CMP-11325,Received promotional spam call claiming lottery winnings. Reporting number.,Spam Call Report,Cyber Crime,Phishing / Scam Calls,Cyber Crime,LOW,Low,Industrial,24,1,0,1,4.5,22.97717,88.44289,Ward 9,"General Hospital Gate #2, Barrackpore Trunk Road, Ward 9"
CMP-11326,मेरी तस्वीर का उपयोग करके सोशल मीडिया पर फर्जी खाता बनाया गया है।,फर्जी सोशल मीडिया प्रोफाइल,Cyber Crime,Account Hacking,Cyber Crime,MEDIUM,Medium,Industrial,78,21,0,1,2.8,22.98766,88.47018,Ward 1,"Bus Terminus, Hospital Road, Ward 1"
CMP-11327,"My bank account was charged ₹25,000 due to an online fraud after clicking a fake electricity bill link.","Fraudulent Online Bank Debit ₹25,000",Cyber Crime,UPI / Payment Fraud,Cyber Crime,HIGH,High,Commercial,457,13,0,1,1.9,22.94876,88.46806,Ward 17,"Children's Park, Netaji Subhash Avenue, Ward 17"
CMP-11328,Extremist cyber extortionist threatening to release fabricated morphed images within 15 minutes unless ransom paid.,Immediate Life-Threatening Cyber Blackmail,Cyber Crime,Cyber Harassment / Stalking,Cyber Crime,CRITICAL,Critical,Hospital,884,3,1,1,1.3,23.0538,88.40591,Ward 17,"Post Office Square, Ring Road, Ward 17"
CMP-11329,"महिला केंद्र के पास स्ट्रीट लाइट धीमी है, अतिरिक्त प्रकाश की व्यवस्था की जाए।",महिला केंद्र के पास प्रकाश की मांग,Women & Child Safety,Street Harassment / Eve Teasing,Women & Child Safety,LOW,Low,Commercial,47,7,0,1,2.7,22.92295,88.44783,Ward 4,"Sub-Divisional Court, Shanti Nagar Main Road, Ward 4"
CMP-11330,স্কুল ছুটির সময় Bus Terminus-এর সামনে কিছু বখাটে ছেলে দাঁড়িয়ে অযথা ভিড় করছে।,স্কুলের সামনে বখাটেদের উপদ্রব,Women & Child Safety,Street Harassment / Eve Teasing,Women & Child Safety,MEDIUM,Medium,Hospital,68,15,0,1,1.6,23.02309,88.41463,Ward 1,"Bus Terminus, Hospital Road, Ward 1"
CMP-11331,Child safety concern reported at private coaching center near City Central Station; physical abuse suspected.,Child Safety Concern at Coaching Center,Women & Child Safety,Child Abuse / Neglect,Women & Child Safety,HIGH,High,Market,149,3,0,1,0.7,22.96322,88.38461,Ward 17,"City Central Station, Barrackpore Trunk Road, Ward 17"
CMP-11332,"একটি শিশু এই মুহূর্তে Water Tank #4-এর কাছে চরম বিপদের মধ্যে আছে, দ্রুত সাহায্য পাঠান!",শিশু চরম বিপদে,Women & Child Safety,Child Abuse / Neglect,Women & Child Safety,CRITICAL,Critical,Highway,359,2,1,1,0.8,22.92337,88.43471,Ward 6,"Water Tank #4, Temple Road, Ward 6"
CMP-11333,Street name sign board is slightly tilted on Lake View Road.,Tilted Sign Board,Traffic & Road Safety,Missing Road Signage,Traffic & Road Safety,LOW,Low,Commercial,12,9,0,0,4.0,22.96699,88.47508,Ward 15,"Town Hall Complex, Lake View Road, Ward 15"
CMP-11334,Taxis parking haphazardly near Public Library bus terminus causing slow vehicle movement.,Haphazard Commercial Parking,Traffic & Road Safety,Illegal / Obstructive Parking,Traffic & Road Safety,MEDIUM,Medium,School,30,8,0,0,2.9,22.95341,88.43322,Ward 9,"Public Library, College Street, Ward 9"
CMP-11335,Government Girls High School मुख्य चौराहे पर ट्रैफिक लाइट बंद होने से गंभीर जाम और दुर्घटना की आशंका है।,व्यस्त चौराहे पर ट्रैफिक सिग्नल बंद,Traffic & Road Safety,Traffic Signal Failure,Traffic & Road Safety,HIGH,High,Commercial,701,4,0,0,1.8,22.98682,88.39983,Ward 10,"Government Girls High School, Kalyani Highway, Ward 10"
CMP-11336,"Massive multi-vehicle collision on highway near Government Girls High School; fuel leaking from tanker onto road, explosion imminent!",Massive Highway Collision & Fuel Leak Hazard,Traffic & Road Safety,Dangerous / Rash Driving,Traffic & Road Safety,CRITICAL,Critical,Highway,576,1,1,0,1.1,22.90739,88.41825,Ward 1,"Government Girls High School, Bazaar Street, Ward 1"
CMP-11337,Small chip in concrete curb stone near Town Hall Complex garden.,Chipped Curb Stone,Roads & Public Works,Broken Divider / Railing,Roads & Public Works,LOW,Low,Residential,44,2,0,0,6.5,22.99083,88.43457,Ward 2,"Town Hall Complex, Barrackpore Trunk Road, Ward 2"
CMP-11338,Station Road-এ বেশ কিছু গর্তের কারণে গাড়ি ধীরগতিতে চলছে এবং যাতায়াতে অসুবিধা হচ্ছে।,রাস্তার গর্তের কারণে সমস্যা,Roads & Public Works,Pothole / Crater,Roads & Public Works,MEDIUM,Medium,Public Park,39,9,0,0,3.9,22.95038,88.43897,Ward 1,"General Hospital Gate #2, Station Road, Ward 1"
CMP-11339,व्यस्त सड़क पर बड़े गड्ढे के कारण वाहन अचानक ब्रेक लगा रहे हैं और दुर्घटना की संभावना बढ़ गई है।,व्यस्त सड़क पर जानलेवा गड्ढा,Roads & Public Works,Pothole / Crater,Roads & Public Works,HIGH,High,Highway,547,9,0,0,2.7,22.96052,88.42198,Ward 20,"Bus Terminus, Green Park Avenue, Ward 20"
CMP-11340,"पुल के खंभे में भारी दरार आ गई है और पुल हिल रहा है, तत्काल यातायात रोकें!",पुल टूटने का गंभीर खतरा,Roads & Public Works,Damaged Bridge / Flyover,Roads & Public Works,CRITICAL,Critical,Highway,1406,3,1,0,1.6,22.96206,88.4318,Ward 8,"Industrial Park Gate #1, Old Court Road, Ward 8"
CMP-11341,"Bazaar Street-এ ফুটপাথের ধারে সামান্য জল জমে আছে, কোনও জরুরি বিপদ নেই।",ফুটপাথের ধারে সামান্য জল,Drainage & Sewerage,Waterlogging / Stagnant Water,Drainage & Sewerage,LOW,Low,Highway,40,1,0,0,5.9,22.93941,88.3877,Ward 11,"Children's Park, Bazaar Street, Ward 11"
CMP-11342,Drain blockage causing minor waterlogging during rains on Station Road.,Blocked Neighborhood Storm Drain,Drainage & Sewerage,Blocked / Clogged Drain,Drainage & Sewerage,MEDIUM,Medium,Industrial,193,15,0,0,3.7,22.95803,88.42604,Ward 1,"Electricity Substation, Station Road, Ward 1"
CMP-11343,Severe waterlogging affecting homes and businesses along Kabi Nazrul Sarani; dirty water entering ground floor shops.,Severe Commercial Waterlogging,Drainage & Sewerage,Waterlogging / Stagnant Water,Drainage & Sewerage,HIGH,High,School,766,14,0,0,2.1,22.9685,88.47396,Ward 12,"Bus Terminus, Kabi Nazrul Sarani, Ward 12"
CMP-11344,"स्कूल के गेट के ठीक बगल में खुला गहरा मैनहोल है, बच्चे किसी भी पल गिर सकते हैं!",स्कूल के पास खुला मैनहोल,Drainage & Sewerage,Open / Missing Manhole,Drainage & Sewerage,CRITICAL,Critical,School,1064,4,1,0,1.4,22.99656,88.39859,Ward 1,"Town Hall Complex, Green Park Avenue, Ward 1"
CMP-11345,এই সপ্তাহে একদিন আমাদের গলির আবর্জনা সংগ্রহের গাড়ি আসেনি।,একদিন ময়লা সংগ্রহ বাদ,Solid Waste Management,Missed Door-to-Door Collection,Solid Waste Management,LOW,Low,Slum Area,3,6,0,0,3.7,22.90402,88.41377,Ward 8,"Industrial Park Gate #1, Station Road, Ward 8"
CMP-11346,हमारे आवासीय क्षेत्र में कई दिनों से कचरा जमा हो रहा है और बदबू आ रही है।,कचरा पात्र भर गया है,Solid Waste Management,Overflowing Garbage Vat / Bin,Solid Waste Management,MEDIUM,Medium,Slum Area,104,16,0,0,2.7,22.98792,88.42846,Ward 4,"Municipal Market, Bazaar Street, Ward 4"
CMP-11347,भीड़भाड़ वाले बाजार के पास कचरे का विशाल ढेर गंभीर बीमारी का खतरा पैदा कर रहा है।,बाजार में भारी कचरा ढेर,Solid Waste Management,Overflowing Garbage Vat / Bin,Solid Waste Management,HIGH,High,Public Park,779,4,0,0,1.6,22.95778,88.43912,Ward 19,"Public Library, Temple Road, Ward 19"
CMP-11348,"Massive illegal dump of infected hospital biomedical waste, blood bags, and discarded syringes next to drinking water tank on Hospital Road!",Illegal Biomedical Biohazard Dump,Solid Waste Management,Hazardous Biomedical Waste,Solid Waste Management,CRITICAL,Critical,Public Park,188,3,1,0,1.1,22.9346,88.44149,Ward 15,"Town Hall Complex, Hospital Road, Ward 15"
CMP-11349,Streetlight LED bulb is flickering mildly near Government Girls High School park.,Flickering Streetlight Bulb,Street Lighting & Electrical,Flickering / Damaged LED,Street Lighting & Electrical,LOW,Low,School,31,9,0,0,4.6,22.96462,88.45152,Ward 8,"Government Girls High School, Kalyani Highway, Ward 8"
CMP-11350,Entire colony lane in darkness for 4 days due to localized lamp fault on College Street.,Colony Lane Dark for 4 Days,Street Lighting & Electrical,Streetlight Completely Off,Street Lighting & Electrical,MEDIUM,Medium,Residential,42,16,0,0,3.4,22.97239,88.44383,Ward 6,"Municipal Market, College Street, Ward 6"
CMP-11351,ব্যস্ত রাস্তায় বাতি না জ্বলায় চরম অন্ধকার এবং ঘন ঘন দুর্ঘটনা ঘটছে।,অন্ধকার রাস্তায় দুর্ঘটনা,Street Lighting & Electrical,Streetlight Completely Off,Street Lighting & Electrical,HIGH,High,Hospital,275,13,0,0,1.7,22.97953,88.44551,Ward 16,"Bus Terminus, Bazaar Street, Ward 16"
CMP-11352,A live electrical wire has fallen onto the road on Hospital Road and people could be electrocuted! Cut power immediately!,Live Electrical Wire on Road - Electrocution Hazard,Street Lighting & Electrical,Exposed Junction Box,Street Lighting & Electrical,CRITICAL,Critical,School,195,3,1,0,1.0,22.94951,88.43916,Ward 19,"Town Hall Complex, Hospital Road, Ward 19"
CMP-11353,Electric meter display is dim on Old Court Road. Reading is still recorded correctly.,Dim Meter Display,Electricity & Power,Defective Meter,Electricity & Power,LOW,Low,Public Park,46,7,0,0,3.6,22.98622,88.45805,Ward 14,"Children's Park, Old Court Road, Ward 14"
CMP-11354,Unscheduled power outage for 6 hours without prior notice on Industrial Estate Road.,Unannounced 6-Hour Power Cut,Electricity & Power,Prolonged Blackout,Electricity & Power,MEDIUM,Medium,Commercial,44,12,0,0,2.1,22.99375,88.44098,Ward 4,"Bus Terminus, Industrial Estate Road, Ward 4"
CMP-11355,Distribution transformer overheating with heavy buzzing and oil leaking on Old Court Road.,Transformer Oil Leak & Overheating,Electricity & Power,Transformer Sparking / Overheating,Electricity & Power,HIGH,High,Highway,168,11,0,0,1.2,22.98296,88.40921,Ward 5,"Public Library, Old Court Road, Ward 5"
CMP-11356,"১১ হাজার ভোল্টের তার ছিঁড়ে বাসস্ট্যান্ডের উপর পড়েছে, তৎক্ষণাৎ বিদ্যুৎ সংযোগ বন্ধ করুন!",১১ কেভি তার ছিঁড়ে পড়ার জরুরি অবস্থা,Electricity & Power,Open Live Wire / Electrical Hazard,Electricity & Power,CRITICAL,Critical,Public Park,646,1,1,0,0.6,22.97973,88.44143,Ward 7,"City Central Station, Bazaar Street, Ward 7"
CMP-11357,सामुदायिक भवन के लिए नियमित अग्नि सुरक्षा निरीक्षण का अनुरोध।,फायर सेफ्टी ऑडिट अनुरोध,Fire & Emergency Services,Residential Structure Fire,Fire & Emergency Services,LOW,Low,Industrial,50,6,0,0,1.5,23.00135,88.4483,Ward 17,"Community Health Center, Ring Road, Ward 17"
